ImageId,Class
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,0
683,1
684,1
685,0
686,0
687,1
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,0
731,1
732,0
733,0
734,1
735,0
736,0
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,1
758,0
759,0
760,1
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,1
777,0
778,0
779,1
780,0
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,0
801,1
802,0
803,1
804,1
805,0
806,0
807,1
808,1
809,0
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,0
818,0
819,1
820,1
821,1
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,0
834,0
835,1
836,0
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,1
847,1
848,0
849,1
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,1
863,0
864,0
865,1
866,1
867,0
868,1
869,0
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,1
881,0
882,1
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,1
895,1
896,0
897,1
898,0
899,1
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,0
923,1
924,0
925,1
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,1
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,0
944,0
945,1
946,0
947,0
948,1
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,1
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,1
1064,1
1065,1
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,0
1074,1
1075,0
1076,0
1077,0
1078,0
1079,1
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,1
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,0
1121,1
1122,0
1123,0
1124,0
1125,0
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,0
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,1
1168,0
1169,1
1170,0
1171,0
1172,1
1173,0
1174,1
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,0
1182,1
1183,1
1184,0
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,0
1213,0
1214,1
1215,0
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
